Row ID,MASTER ID,Date,Cap time,Release Time,Run #,Observer (Marking),Observer (Data),Fence Observer(s),Pond #,Trap #,Direction of Travel,REC/CAP,1st Capture of Year,Season First Captured,prob with season first cap,Age,Sex,Gravid?,MS222?,%,Volume disp,Weight,TL,SVL_1stMeasurement,SVL_2ndMeasurement,SVL_3rdMeasurement,Toe Clip,Vial #,Mark Start,Mark End,VIE Combo,Marking Method (PIT VIA VIE),New VIE Combo,Code,New PIT code,Batch Mark,New Batch Mark,Camera ID (initials),Corrected Photo Filename,Camera Photo File,Photo file names updated,Anesthesia Start,Anesthesia End,H2O time,Recovery time,Marks or Abnormalities,Comments,Proofed,Annotations from Proofing,Night
11,11,11/4/2010,3:40:00 AM,,,,"BKR,SCR, KCJ",,4,7,IN,CAP,Y,1,No,A,F,U,No,,,6.5,110.24,62.58,,,Yes,VIAL 10,4:22,4:26,XROR,VIE,No,,No,,No,,NO PHOTO,,,,,,,,,Yes,,
12,12,11/4/2010,3:40:00 AM,,,,"BKR,SCR, KCJ",,4,7,IN,CAP,Y,1,No,A,F,U,No,,,8.25,125.04,62.5,,,Yes,VIAL 11,4:29,4:31,ROOX,VIE,No,,No,,No,,NO PHOTO,,,,,,,,,Yes,,
13,13,11/4/2010,3:40:00 AM,,,,"BKR,SCR, KCJ",,4,7,IN,CAP,Y,1,No,A,F,U,No,,,8.5,109.75,59.16,,,Yes,VIAL 12,4:35,4:37,ROXO,VIE,No,,No,,No,,NO PHOTO,,,,,,,,Red has drifted towards back,Yes,,
14,14,11/4/2010,3:40:00 AM,,,,"BKR,SCR, KCJ",,4,7,IN,CAP,Y,1,No,A,M,N/A,No,,,6.5,118.62,62.42,,,Yes,VIAL 13,4:40,4:43,RXOO,VIE,No,,No,,No,,NO PHOTO,,,,,,,,,Yes,,
15,15,11/4/2010,3:40:00 AM,,,,"BKR,SCR, KCJ",,4,7,IN,CAP,Y,1,No,J,M,N/A,No,,,2.25,81.75,42.8,,,Yes,VIAL 14,4:46,4:48,XROO,VIE,No,,No,,No,,NO PHOTO,,,,,,,,,Yes,,
16,16,11/4/2010,3:40:00 AM,,,,"BKR,SCR, KCJ",,4,7,IN,CAP,Y,1,No,J,M,N/A,No,,,1.75,68.98,35.76,,,Yes,VIAL 15,5:01,5:03,RRYX,VIE,No,,No,,No,,NO PHOTO,,,,,,,,,Yes,,
17,17,11/4/2010,5:07:00 AM,,,,"BKR,SCR, KCJ",,4,9,IN,CAP,Y,1,No,J,M,N/A,No,,,2.25,85.28,49.31,,,Yes,VIAL 16,5:08,5:10,RRXY,VIE,No,,No,,No,,NO PHOTO,,,,,,,,,Yes,,
18,18,11/4/2010,5:19:00 AM,,,,"BKR,SCR, KCJ",,4,13,IN,CAP,Y,1,No,U,M,N/A,No,,,2,77.2,44.37,,,Yes,VIAL 18,5:22,5:23,RXRY,VIE,No,,No,,No,,NO PHOTO,,,,,,,,,Yes,,
19,19,11/4/2010,5:19:00 AM,,,,"BKR,SCR, KCJ",,4,13,IN,CAP,Y,1,No,A,F,U,No,,,5.75,93.94,60.96,,,Yes,VIAL 17,5:25,5:27,XRRY,VIE,No,,No,,No,,NO PHOTO,,,,,,,,,Yes,,
20,20,11/4/2010,5:34:00 AM,,,,"BKR,SCR, KCJ",,4,19,IN,CAP,Y,1,No,A,F,U,No,,,6,116.65,59,,,Yes,VIAL 19,5:35,5:40,ROYX,PIT/VIE/VIA,No,BAF19B0,No,,No,,NO PHOTO,,,,,,,,,Yes,,
21,21,11/4/2010,5:38:00 AM,,,,"BKR,SCR, KCJ",,4,21,IN,CAP,Y,1,No,A,M,N/A,No,,,5.25,128.3,59.5,,,Yes,VIAL 20,5:40,5:44,RXOY,VIE,No,,No,,No,,NO PHOTO,,,,,,,,"Orange is marked high, moved to belly",Yes,,
22,22,11/4/2010,5:38:00 AM,,,,"BKR,SCR, KCJ",,4,21,IN,CAP,Y,1,No,A,M,N/A,No,,,3.5,91,54.15,,,Yes,VIAL 21,5:53,5:56,ROXY,VIE,No,,No,,No,,NO PHOTO,,,,,,,,,Yes,,
23,23,11/4/2010,6:07:00 AM,,,,"BKR,SCR, KCJ",,4,25,IN,CAP,Y,1,No,A,M,N/A,No,,,3,85.41,52.2,,,Yes,VIAL 22,6:09,6:12,XROY,VIE,No,,No,,No,,NO PHOTO,,,,,,,,,Yes,,
24,24,11/4/2010,6:10:00 AM,,,,"BKR,SCR, KCJ",,4,37,IN,CAP,Y,1,No,A,M,N/A,No,,,4.1,95.65,52.48,,,Yes,VIAL 24,6:30,6:33,RYXR,VIE,No,,No,,No,,RYXR_11-04-10 (1),702,,,,,,,,Yes,,
25,25,11/4/2010,6:10:00 AM,,,,"BKR,SCR, KCJ",,4,37,IN,CAP,Y,1,No,J,M,N/A,No,,,2,80.65,44.2,,,Yes,LOST TOE CLIP IN FIELD,6:33,6:35,RXYR,VIE,No,,No,,No,,RXYR_11-04-10 (1),710,,,,,,,LOST TOE CLIP IN FIELD,Yes,,
26,26,11/4/2010,6:10:00 AM,,,,"BKR,SCR, KCJ",,4,37,IN,CAP,Y,1,No,A,M,N/A,No,,,4.5,103.5,54.2,,,Yes,VIAL 30,6:37,6:39,XRYR,VIE,No,,No,,No,,XRYR_11-04-10 (1),707,,,,,,,,Yes,,
27,27,11/4/2010,6:10:00 AM,,,,"BKR,SCR, KCJ",,4,37,IN,CAP,Y,1,No,A,F,U,No,,,8.5,115.15,59.3,,,Yes,VIAL 23,,,RYRX,VIE,No,,No,,No,,RYRX_11-04-10 (1),704,,,,,,,mark start/end not recorded,Yes,,
28,28,11/4/2010,6:54:00 AM,,,,"BKR,SCR, KCJ",,4,39,IN,CAP,Y,1,No,A,F,U,No,,,8.25,114.6,64.2,,,Yes,VIAL 26,6:55,6:56,RYOX,VIE,No,,No,,No,,RYOX_11-04-10 (1),711,,,,,,,,Yes,,
29,29,11/4/2010,6:55:00 AM,,,,"BKR,SCR, KCJ",,4,39,IN,CAP,Y,1,No,A,F,U,No,,,7,107.25,60.5,,,Yes,VIAL 25,7:05,7:09,RYXO,VIE,No,,No,,No,,RYXO_11-04-10 (1),716,,,,,,,,Yes,,
30,30,11/4/2010,7:20:00 AM,,,,"BKR,SCR, KCJ",,4,41,IN,CAP,Y,1,No,A,U,N/A,No,,,3.25,92.01,56.12,,,Yes,VIAL 29,7:25,7:27,RXYO,VIE,No,,No,,No,,RXYO_11-04-10 (1),717,,,,,,,,Yes,,
31,31,11/4/2010,7:20:00 AM,,,,"BKR,SCR, KCJ",,4,41,IN,CAP,Y,1,No,A,M,N/A,No,,,4.5,117.12,54.9,,,Yes,VIAL 27,7:31,7:34,XRYO,VIE,No,,No,,No,,XRYO_11-04-10 (1),719,,,,,,,,Yes,,
32,32,11/4/2010,7:20:00 AM,,,,"BKR,SCR, KCJ",,4,41,IN,CAP,Y,1,No,J,M,N/A,No,,,2.25,90.45,46,,,Yes,VIAL 28,7:38,7:39,RYYX,VIE,No,,No,,No,,RYYX_11-04-10 (1),721,,,,,,,,Yes,,
33,33,11/4/2010,7:20:00 AM,,,,"BKR,SCR, KCJ",,4,41,IN,CAP,Y,1,No,A,F,U,No,,,7,120.27,54.06,,,Yes,VIAL 31,7:39,7:41,R&YXYX,VIE,No,,No,,No,,R-YXYX_11-04-10 (1),722,,,,,,,Mark 1 double marked,Yes,,
34,34,11/4/2010,7:20:00 AM,,,,"BKR,SCR, KCJ",,4,41,IN,CAP,Y,1,No,A,F,U,No,,,6.5,112,56.02,,,Yes,VIAL 32,7:48,7:50,RXYY,VIE,No,,No,,No,,RXYY_11-04-10 (1),724,,,,,,,,Yes,,
35,35,11/4/2010,7:20:00 AM,,,,"BKR,SCR, KCJ",,4,41,IN,CAP,Y,1,No,A,F,U,No,,,8.75,128.65,67.75,,,Yes,VIAL 34,7:51,7:53,RYXY,VIE,No,,No,,No,,RYXY_11-04-10 (1),725,,,,,,,,Yes,,
36,36,11/4/2010,7:20:00 AM,,,,"BKR,SCR, KCJ",,4,41,IN,CAP,Y,1,No,A,F,U,No,,,7,113.5,57,,,Yes,VIAL 33,7:55,7:56,XRYY,VIE,No,,No,,No,,XRYY_11-04-10 (1),726,,,,,,,,Yes,,
37,37,11/4/2010,7:20:00 AM,,,,"BKR,SCR, KCJ",,4,41,IN,CAP,Y,1,No,J,U,N/A,No,,,2.25,90.6,45.8,,,Yes,VIAL 35,8:18,8:21,ORRX,PIT/VIE,No,BAF1930,No,,No,,BAF1930_ORRX_11-04-10 (1),727,,,,,,,,Yes,,
38,38,11/4/2010,7:20:00 AM,,,,"BKR,SCR, KCJ",,4,41,IN,CAP,Y,1,No,J,M,N/A,No,,,2,78.9,41.8,,,Yes,VIAL 36,8:24,8:25,ORXR,PIT/VIE,No,BAF1A4C,No,,No,,BAF1A4C_ORXR_11-04-10 (1),728,,,,,,,,Yes,,
39,39,11/4/2010,7:20:00 AM,,,,"BKR,SCR, KCJ",,4,41,IN,CAP,Y,1,No,J,U,N/A,No,,,1.75,75.4,38.9,,,Yes,VIAL 37,8:25,8:27,OXRR,VIE,No,,No,,No,,OXRR_11-04-10 (1),729,,,,,,,,Yes,,
40,40,11/4/2010,7:20:00 AM,,,,"BKR,SCR, KCJ",,4,41,IN,CAP,Y,1,No,A,F,U,No,,,5,108.5,61.9,,,Yes,VIAL 38,8:27,8:29,XORR,PIT/VIE,No,BAF193E,No,,No,,BAF193E_XORR_11-04-10 (1),730,,,,,,DOUBLE TIPPED TOE,,Yes,,
41,41,11/4/2010,8:32:00 AM,,,,"BKR,SCR, KCJ",,4,47,IN,CAP,Y,1,No,A,F,U,No,,,6.25,113.3,63.8,,,Yes,VIAL 39,8:33,8:37,OROX,VIE,No,,No,,No,,OROX_11-04-10 (1),732,,,,,,,,Yes,,
42,42,11/4/2010,8:32:00 AM,,,,"BKR,SCR, KCJ",,4,47,IN,CAP,Y,1,No,J,M,N/A,No,,,2.25,77.3,42.5,,,Yes,VIAL 40,8:38,8:40,ORXO,VIE,No,,No,,No,,ORXO_11-04-10 (1),731,,,,,,,,Yes,,
43,43,11/4/2010,8:32:00 AM,,,,"BKR,SCR, KCJ",,4,47,IN,CAP,Y,1,No,A,F,U,No,,,7.25,118.3,60.5,,,Yes,VIAL 41,8:40,8:44,OXRO,V,No,,No,,No,,OXRO_11-04-10 (1),733,,,,,,,,Yes,,
44,44,11/4/2010,8:32:00 AM,,,,"BKR,SCR, KCJ",,4,47,IN,CAP,Y,1,No,A,M,N/A,No,,,1.15,75.4,42.5,,,Yes,VIAL 42,8:46,8:51,XORO,VIE,No,,No,,No,,XORO_11-04-10 (1),734,,,,,,,,Yes,,
45,45,11/4/2010,8:55:00 AM,,,,"BKR,SCR, KCJ",,4,50,Out,CAP,Y,1,No,J,U,N/A,No,,,1.75,72.2,41.9,,,Yes,VIAL 43,8:56,8:59,ORXY,VIE,No,,No,,No,,ORXY_11-04-10 (1),735,,,,,,,,Yes,,
46,46,11/4/2010,8:55:00 AM,,,,"BKR,SCR, KCJ",,4,50,Out,CAP,Y,1,No,J,U,N/A,No,,,2.25,84.9,47.6,,,Yes,VIAL 44,8:59,9:00,ORYX,VIE,No,,No,,No,,ORYX_11-04-10 (1),736,,,,,,,YELLOW IS HARD TO SEE,Yes,,
47,47,11/4/2010,8:55:00 AM,,,,"BKR,SCR, KCJ",,4,50,Out,CAP,Y,1,No,A,F,U,No,,,8.25,117.8,61.5,,,Yes,VIAL 45,9:02,9:05,OXRY,PIT/VIE,No,BAF1941,No,,No,,"BAF1941_OXRY_11-04-10 (1,2)",738,,,,,,,,Yes,,
48,48,11/4/2010,8:55:00 AM,,,,"BKR,SCR, KCJ",,4,50,Out,CAP,Y,1,No,A,F,U,No,,,9.25,125.1,67.4,,,Yes,VIAL 46,9:07,9:11,XORY,VIE,No,,No,,No,,XORY_11-04-10 (1),737,,,,,,,,Yes,,
49,49,11/4/2010,9:15:00 AM,,,,"BKR,SCR, KCJ",,4,52,Out,CAP,Y,1,No,J,M,N/A,No,,,1.5,74.2,41.9,,,Yes,VIAL 47,9:15,9:17,OOXR,VIE,No,,No,,No,,OOXR_11-04-10 (1),739,,,,,,,,Yes,,
50,50,11/4/2010,9:15:00 AM,,,,"BKR,SCR, KCJ",,4,52,Out,CAP,Y,1,No,J,M,N/A,No,,,2,76.6,41.3,,,Yes,VIAL 48,9:17,9:20,OORX,VIE,No,,No,,No,,OORX_11-04-10 (1),740,,,,,,,,Yes,,
51,51,11/4/2010,9:25:00 AM,,,,"BKR,SCR, KCJ",,4,55,IN,CAP,Y,1,No,J,M,N/A,No,,,1.75,75.5,43.2,,,Yes,VIAL 49,9:25,9:27,OXOR,VIE,No,,No,,No,,OXOR_11-04-10 (1),741,,,,,,,,Yes,,
52,52,11/4/2010,9:25:00 AM,,,,"BKR,SCR, KCJ",,4,56,Out,CAP,Y,1,No,A,F,U,No,,,8.25,115.3,57.4,,,Yes,VIAL 51,9:29,9:31,XOOR,VIE,No,,No,,No,,XOOR_11-04-10 (1),743,,,,,,,,Yes,Salamander photographed several months previously by KJ,
53,53,11/4/2010,9:25:00 AM,,,,"BKR,SCR, KCJ",,4,56,Out,CAP,Y,1,No,A,F,U,No,,,9,122.9,61.6,,,Yes,VIAL 50,9:32,9:34,OYRX,PIT/VIE,No,BAF1A1F,No,,No,,BAF1A1F_OYRX_11-04-10 (1),742,,,,,,,,Yes,,
54,54,11/4/2010,9:47:00 AM,,,,"BKR,SCR, KCJ",,4,57,IN,CAP,Y,1,No,A,M,N/A,No,,,4,97.3,54.4,,,Yes,VIAL 52,9:50,9:52,OXYR,PIT/VIE,No,BAF196D,No,,No,,BAF196D_OXYR_11-04-10 (1),746,,,,,,,,Yes,,
55,55,11/4/2010,9:47:00 AM,,,,"BKR,SCR, KCJ",,4,57,IN,CAP,Y,1,No,J,M,N/A,No,,,1.75,72.1,45.5,,,Yes,VIAL 53,9:52,9:55,XOYR,VIE,No,,No,,No,,XOYR_11-04-10 (1),748,,,,,,,,Yes,,
56,56,11/4/2010,9:47:00 AM,,,,"BKR,SCR, KCJ",,4,57,IN,CAP,Y,1,No,A,M,N/A,No,,,3.25,89.9,55.6,,,Yes,VIAL 54,9:55,10:00,OYXR,VIE,No,,No,,No,,OYXR_11-04-10 (1),747,,,,,,,,Yes,,
57,57,11/4/2010,10:06:00 AM,,,,"BKR,SCR, KCJ",,4,59,IN,CAP,Y,1,No,A,F,U,No,,,6.5,110.99,58.5,,,Yes,VIAL 56,10:06,10:10,YRXR,VIE,No,,No,,No,,YRXR_11-04-10 (1),751,,,,,,,,Yes,,
58,58,11/4/2010,10:06:00 AM,,,,"BKR,SCR, KCJ",,4,59,IN,CAP,Y,1,No,A,F,U,No,,,6.5,105.4,56.9,,,Yes,VIAL 55,10:10,10:11,YRRX,VIE,No,,No,,No,,YRRX_11-04-10 (1),749,,,,,,,,Yes,,
59,59,11/4/2010,10:22:00 AM,,,,"BKR,SCR, KCJ",,4,61,IN,CAP,Y,1,No,J,M,N/A,No,,,1.5,75.2,40.8,,,Yes,VIAL 57,10:23,10:25,XYRR,VIE,No,,No,,No,,XYRR_11-04-10 (1),752,,,,,,,,Yes,,
60,60,11/4/2010,10:22:00 AM,,,,"BKR,SCR, KCJ",,4,61,IN,CAP,Y,1,No,A,M,N/A,No,,,4.5,100.3,58.6,,,Yes,VIAL 58,10:25,10:28,YXRR,PIT/VIE,No,BAF195C,No,,No,,BAF195C_YXRR_11-04-10 (1),753,,,,,,,,Yes,,
61,61,11/4/2010,10:22:00 AM,,,,"BKR,SCR, KCJ",,4,61,IN,CAP,Y,1,No,A,M,N/A,No,,,2,90.4,46.1,,,Yes,VIAL 59,10:28,10:29,YROX,VIE,No,,No,,No,,YROX_11-04-10 (1),754,,,,,,,,Yes,,
62,62,11/4/2010,10:22:00 AM,,,,"BKR,SCR, KCJ",,4,61,IN,CAP,Y,1,No,A,F,U,No,,,6.5,118.7,56.1,,,Yes,VIAL 60,10:31,10:35,YRXO,VIE,No,,No,,No,,NO PHOTO,755,,,,,,,,Yes,,
63,63,11/4/2010,10:22:00 AM,,,,"BKR,SCR, KCJ",,4,61,IN,CAP,Y,1,No,A,M,N/A,No,,,5.75,115.2,58.2,,,Yes,VIAL 61,10:35,10:37,YXRO,VIE,No,,No,,No,,YXRO_11-04-10 (1),756,,,,,,,,Yes,,
64,64,11/4/2010,10:22:00 AM,,,,"BKR,SCR, KCJ",,4,61,IN,CAP,Y,1,No,J,M,N/A,No,,,1.5,71.1,39.5,,,Yes,VIAL 62,10:36,10:39,XYRO,VIE,No,,No,,No,,XYRO_11-04-10 (1),755,,,,,,,,Yes,,
65,65,11/5/2010,12:40:00 AM,,,,"BKR,SCR",,4,40,Out,CAP,Y,1,No,A,F,U,No,,,6.5,109.5,61.69,,,Yes,VIAL 64,0:50,0:59,YRYX,VIE,No,,No,,No,,YRYX_11-15-10 (1),791,,,,,,,,Yes,,
66,28,11/5/2010,12:40:00 PM,,,,"BKR,SCR",,4,40,Out,REC,N,1,No,A,F,U,No,,,9,100.95,58.51,,,Yes,VIAL 63,,,RYOX,VIE,No,,No,,No,,RYOX_11-15-10 (1),793,,,,,,,FIRST RECAP!,Yes,,
67,66,11/15/2010,7:36:00 PM,,,,"SCR, BAH",,4,9,IN,CAP,Y,1,No,A,F,U,No,,,6.48,118.59,57.72,,,Yes,VIAL 100,20:05,20:11,YORX,VIE,No,,No,,No,,YORX_11-15-10 (1),3&5,,,,,,,,Yes,,
68,58,11/15/2010,8:15:00 PM,,,,"SCR,BAH,JP",,4,58,Out,REC,N,1,No,A,F,U,No,,,7.1,111.55,57.22,,,No,,,,YRRX,VIE,No,,No,,No,,YRRX_11-15-10 (1),10&11,,,,,,,,Yes,,
69,28,11/15/2010,8:41:00 PM,,,,"SCR,BAH,JP",,4,37,IN,REC,N,1,No,A,F,U,No,,,7,119.6,65.1,,,No,,,,RYOX,VIE,No,,No,,No,,RYOX_11-15-10 (1),8,,,,,,SCRAPE ON HEAD,,Yes,,
70,18,11/15/2010,8:43:00 PM,,,,"SCR,BAH,JP",,4,10,Out,REC,N,1,No,U,M,N/A,No,,,2.1,76.89,40.91,,,No,,,,RXRY,VIE,No,,No,,No,,RXRY_11-15-10 (1),19,,,,,,TAIL TIP REGENERATING,Outside of trap,Yes,,
71,67,11/15/2010,8:53:00 PM,,,,"SCR,BAH,JP",,4,44,Out,CAP,Y,1,No,A,F,U,No,,,9.2,122.07,63.86,,,Yes,VIAL 101,20:57,21:02,YOXR,VIE,No,,No,,No,,YOXR_11-15-10 (1),9,,,,,,,,Yes,,
72,68,11/15/2010,10:15:00 PM,,,,"SCR,BAH,JP",,4,39,IN,CAP,Y,1,No,A,F,U,No,,,5.8,112.15,59.26,,,Yes,VIAL 102,22:18,22:30,YXOR,PIT/VIE,No,BAF19FB,No,,No,,BAF19FB_YXOR_11-15-10 (1),21,,,,,,ALREADY MISSING TOE,Accidently marked multiple times with orange,Yes,,
73,65,11/15/2010,10:37:00 PM,,,,"SCR,BAH,JP",,4,41,IN,REC,N,1,No,A,F,U,No,,,5.25,120.34,60.64,,,No,,,,YRYX,VIE,No,,No,,No,,YRYX_11-15-10 (1),28,,,,,,,,Yes,,
74,69,11/15/2010,10:47:00 PM,,,,"SCR,BAH,JP",,4,49,IN,CAP,Y,1,No,A,U,N/A,No,,,6.1,112.78,56,,,Yes,VIAL 103,22:47,22:51,XYOR,VIE,No,,No,,No,,XYOR_11-15-10 (1),32,,,,,,,,Yes,,
75,29,11/16/2010,1:42:00 AM,,,,"SCR,BAH",,4,37,IN,REC,N,1,No,A,F,U,No,,,6.75,110.26,65.75,,,No,,,,RYXO,VIE,No,,No,,No,,RYXO_11-16-10 (1),36,,,,,,,,Yes,,
76,70,11/16/2010,3:45:00 AM,,,,SCR,,4,52,Out,CAP,Y,1,No,J,U,N/A,No,,,2.75,62.44,31.64,,,Yes,VIAL 105,3:53,3:57,YOXO,VIE,No,,No,,No,,NO PHOTO,NA,,,,,,,photo not taken,Yes,,
77,2,11/16/2010,11:39:00 PM,,,,"SCR,BKR",,4,23,IN,REC,N,1,No,A,F,U,No,,,5.4,98.25,52.46,,,Yes,VIAL 106,,,RXXX,VIE,No,,No,,No,,NO PHOTO,1,,,,,,,"Toe was unclipped, we clipped it tonight",Yes,,
78,71,11/16/2010,12:16:00 AM,,,,"SCR,BAH,JP",,4,56,Out,CAP,Y,1,No,A,M,N/A,No,,,3.5,72.17,40.82,,,Yes,VIAL 104,0:18,0:23,YOOX,VIE,No,,No,,No,,YOOX_11-16-10 (1),35,,,,,,,,Yes,,
79,72,11/30/2010,1:01:00 AM,,,,"JMH, SCR",,4,30,Out,CAP,Y,1,No,A,M,N/A,No,,,2.25,87.5,48.2,,,Yes,VIAL 160,1:03,1:05,YXYR,VIE,No,,No,,No,,YXYR_11-29-10 (1),966,,,,,,,,Yes,Possible duplicated VIE,
80,73,11/29/2010,5:53:00 PM,,,,"JMH, SCR",,4,50,Out,CAP,Y,1,No,J,U,N/A,No,,,1.5,74.2,43.02,,,Yes,VIAL 150,18:54,19:00,YRXY,VIE,No,,No,,No,,YRXY_11-29-10 (1),948,,,,,,,,Yes,,
81,74,11/29/2010,9:09:00 PM,,,,"JMH, SCR",,4,30,Out,CAP,Y,1,No,A,M,N/A,No,,,3,99.9,55.88,,,Yes,VIAL 151,21:15,21:20,YXRY,VIE,No,,No,,No,,YXRY_11-29-10 (1),953,,,,,,Right foot has only three toes,,Yes,,
82,75,11/29/2010,9:32:00 PM,,,,"JMH, SCR",,4,38,Out,CAP,Y,1,No,A,F,U,No,,,5,118.52,61.15,,,Yes,VIAL 152,21:33,21:35,XYRY,VIE,No,,No,,No,,XYRY_11-29-10 (1),954,,,,,,,,Yes,Gravid F in following year,
83,76,11/29/2010,10:03:00 PM,,,,"JMH, SCR, KCJ",,4,46,Out,CAP,Y,1,No,J,U,N/A,No,,,1.5,78.7,34.1,,,Yes,VIAL 154,22:05,22:09,YYXR,VIE,No,,No,,No,,YYXR_11-29-10 (1),956,,,,,,,,Yes,,
84,77,11/29/2010,10:18:00 PM,,,,"JMH, SCR, KCJ",,4,40,Out,CAP,Y,1,No,A,F,U,No,,,5,109.5,54.5,,,Yes,VIAL 153,21:50,21:52,YYRX,PIT/VIE,No,BAF196B,No,,No,,BAF196B_YYRX_11-29-10 (1),955,,,,,,,,Yes,,
85,78,11/29/2010,10:56:00 PM,,,,"JMH, SCR",,4,53,IN,CAP,Y,1,No,A,M,N/A,No,,,3.5,102.1,58.2,,,Yes,VIAL 156,23:15,23:16,XYYY,VIE,No,,No,,No,,XYYY_11-29-10 (1),959,,,,,,,,Yes,,
86,79,11/29/2010,10:57:00 PM,,,,"JMH, SCR",,4,56,Out,CAP,Y,1,No,J,U,N/A,No,,,2.5,92.1,48.2,,,Yes,VIAL 157,23:29,23:30,YXYY,VIE,No,,No,,No,,YXYY_11-29-10 (1),960,,,,,,,,Yes,,
87,80,11/29/2010,,,,,"JMH, SCR",,4,1,IN,CAP,Y,1,No,A,U,N/A,No,,,2.75,82.3,47.5,,,Yes,VIAL 158,11:44,11:45,YYYX,VIE,No,,No,,No,,NO PHOTO,,,,,,,,,Yes,,
88,81,11/29/2010,,,,,"JMH, SCR",,4,48,Out,CAP,Y,1,No,J,U,N/A,No,,,2.5,76.1,43,,,Yes,VIAL 155,22:25,22:27,YXYR,VIE,No,,No,,No,,YXYR_11-30-10 (1),957,,,,,,Mark 1 is central instead of distal,,Yes,Possible duplicated VIE,
89,16,11/30/2010,12:43:00 AM,,,,"JMH, SCR",,4,8,Out,REC,N,1,No,J,U,N/A,No,,,1.25,71.2,45,,,No,,,,RRYX,VIE,No,,No,,No,,RRYX_11-30-10 (1),963,,,,,,,,Yes,"Originally called RYRX, photo matched to RRYX",
90,82,11/30/2010,1:04:00 AM,,,,"SCR, JMH, SJG",,4,57,IN,CAP,Y,1,No,A,M,N/A,No,,,4,124,66.5,,,Yes,VIAL 178,1:07,1:14,XROG,VIE,No,,No,,No,,XROG_11-30-10 (1),1003,,,,,,Dark underside (melanistic?); maybe difficult to read,,Yes,,
